A;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24; ;x;xk; ;d
0;6,55555556;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9874,27775590;9874,28031758; ;10000,00000000
1;-2,77777778;9,33333333;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9851,64976715;9851,65709751; ;10000,00000000
2;0;-2,77777778;9,33333333;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9826,55745169;9826,55931934; ;10000,00000000
3;0;0;-2,77777778;9,33333333;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9851,65677443;9851,65674063; ;10000,00000000
4;0;0;0;-2,77777778;6,55555556;0,00000000;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9874,28401067;9874,28603403; ;10000,00000000
5;-2,77777778;0;0;0;0,00000000;9,33333333;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9851,64976715;9851,65709751; ;10000,00000000
6;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0;0; ;9800,72186836;9800,72652920; ;10000,00000000
7;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0;0; ;9713,92334927;9713,92410212; ;10000,00000000
8;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0;0; ;9800,72335636;9800,72586399; ;10000,00000000
9;0;0;0;0;-2,77777778;0;0;0;-2,77777778;9,33333333;0,00000000;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0;0; ;9851,65670797;9851,65859239; ;10000,00000000
10;0;0;0;0;0;-2,77777778;0;0;0;0,00000000;9,33333333;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0;0; ;9826,55745169;9826,55931934; ;10000,00000000
11;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0;0; ;9713,92334927;9713,92410212; ;10000,00000000
12;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0;0; ;9324,69878622;9324,70175870; ;5000,00000000
13;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0;0;0;0; ;9713,92357184;9713,92528305; ;10000,00000000
14;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;9,33333333;0,00000000;0;0;0;-2,77777778;0;0;0;0;0; ;9826,55886187;9826,56088762; ;10000,00000000
15;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;0,00000000;9,33333333;-2,77777778;0;0;0;-2,77777778;0;0;0;0; ;9851,65677443;9851,65674063; ;10000,00000000
16;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0;0; ;9800,72335636;9800,72586399; ;10000,00000000
17;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0;0; ;9713,92357184;9713,92528305; ;10000,00000000
18;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;12,11111111;-2,77777778;0;0;0;-2,77777778;0; ;9800,72526259;9800,72708510; ;10000,00000000
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;9,33333333;0,00000000;0;0;0;-2,77777778; ;9851,65843811;9851,65976588; ;10000,00000000
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;0,00000000;6,55555556;-2,77777778;0;0;0; ;9874,28401067;9874,28603403; ;10000,00000000
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;9,33333333;-2,77777778;0;0; ;9851,65670797;9851,65859239; ;10000,00000000
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;9,33333333;-2,77777778;0; ;9826,55886187;9826,56088762; ;10000,00000000
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;9,33333333;-2,77777778; ;9851,65843811;9851,65976588; ;10000,00000000
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,77777778;0;0;0;-2,77777778;6,55555556; ;9874,28735355;9874,28822901; ;10000,00000000

;;;;;;;;;;;;;;;;;;;;;;;;;;;Interações;23
;;;;;;;;;;;;;;;;;;;;;;;;;;;Erro;0,007330